Year,arrival_doy,flowering_doy,mismatch_days
2021,61.75000000000001,68,-6.249999999999993
2022,68.05000000000001,63,5.050000000000011
2023,66.85,98,-31.150000000000006
2024,58.1,71,-12.899999999999999
