date,tmean,year,gdd,gdd_cumul
1988-01-01,13.166666666666666,1988,0.0,0.0
1988-01-02,15.5,1988,0.0,0.0
1988-01-03,15.833333333333334,1988,0.0,0.0
1988-01-04,7.0,1988,0.0,0.0
1988-01-05,9.666666666666666,1988,0.0,0.0
1988-01-06,8.0,1988,0.0,0.0
1988-01-07,10.166666666666666,1988,0.0,0.0
1988-01-08,16.5,1988,0.0,0.0
1988-01-09,18.166666666666668,1988,0.0,0.0
1988-01-10,28.833333333333332,1988,0.0,0.0
1988-01-11,41.166666666666664,1988,1.1666666666666643,1.1666666666666643
1988-01-12,30.333333333333332,1988,0.0,1.1666666666666643
1988-01-13,21.833333333333332,1988,0.0,1.1666666666666643
1988-01-14,33.0,1988,0.0,1.1666666666666643
1988-01-15,42.5,1988,2.5,3.6666666666666643
1988-01-16,39.333333333333336,1988,0.0,3.6666666666666643
1988-01-17,28.833333333333332,1988,0.0,3.6666666666666643
1988-01-18,27.0,1988,0.0,3.6666666666666643
1988-01-19,21.0,1988,0.0,3.6666666666666643
1988-01-20,13.0,1988,0.0,3.6666666666666643
1988-01-21,17.0,1988,0.0,3.6666666666666643
1988-01-22,23.0,1988,0.0,3.6666666666666643
1988-01-23,33.5,1988,0.0,3.6666666666666643
1988-01-24,24.5,1988,0.0,3.6666666666666643
1988-01-25,26.5,1988,0.0,3.6666666666666643
1988-01-26,30.666666666666668,1988,0.0,3.6666666666666643
1988-01-27,35.5,1988,0.0,3.6666666666666643
1988-01-28,45.833333333333336,1988,5.833333333333336,9.5
1988-01-29,47.666666666666664,1988,7.666666666666664,17.166666666666664
1988-01-30,44.166666666666664,1988,4.166666666666664,21.33333333333333
1988-01-31,32.666666666666664,1988,0.0,21.33333333333333
1988-02-01,18.833333333333332,1988,0.0,21.33333333333333
1988-02-02,16.833333333333332,1988,0.0,21.33333333333333
1988-02-03,25.333333333333332,1988,0.0,21.33333333333333
1988-02-04,25.333333333333332,1988,0.0,21.33333333333333
1988-02-05,19.333333333333332,1988,0.0,21.33333333333333
1988-02-06,23.333333333333332,1988,0.0,21.33333333333333
1988-02-07,35.333333333333336,1988,0.0,21.33333333333333
1988-02-08,36.5,1988,0.0,21.33333333333333
1988-02-09,36.833333333333336,1988,0.0,21.33333333333333
1988-02-10,30.833333333333332,1988,0.0,21.33333333333333
1988-02-11,20.333333333333332,1988,0.0,21.33333333333333
1988-02-12,37.0,1988,0.0,21.33333333333333
1988-02-13,43.5,1988,3.5,24.83333333333333
1988-02-14,39.0,1988,0.0,24.83333333333333
1988-02-15,38.333333333333336,1988,0.0,24.83333333333333
1988-02-16,39.0,1988,0.0,24.83333333333333
1988-02-17,27.166666666666668,1988,0.0,24.83333333333333
1988-02-18,26.5,1988,0.0,24.83333333333333
1988-02-19,30.333333333333332,1988,0.0,24.83333333333333
1988-02-20,38.5,1988,0.0,24.83333333333333
1988-02-21,44.166666666666664,1988,4.166666666666664,28.999999999999993
1988-02-22,42.666666666666664,1988,2.6666666666666643,31.666666666666657
1988-02-23,28.333333333333332,1988,0.0,31.666666666666657
1988-02-24,30.333333333333332,1988,0.0,31.666666666666657
1988-02-25,38.5,1988,0.0,31.666666666666657
1988-02-26,44.0,1988,4.0,35.66666666666666
1988-02-27,43.833333333333336,1988,3.8333333333333357,39.49999999999999
1988-02-28,43.666666666666664,1988,3.6666666666666643,43.16666666666666
1988-02-29,41.666666666666664,1988,1.6666666666666643,44.83333333333332
1988-03-01,45.5,1988,5.5,50.33333333333332
1988-03-02,38.166666666666664,1988,0.0,50.33333333333332
1988-03-03,30.0,1988,0.0,50.33333333333332
1988-03-04,35.666666666666664,1988,0.0,50.33333333333332
1988-03-05,36.0,1988,0.0,50.33333333333332
1988-03-06,41.666666666666664,1988,1.6666666666666643,51.999999999999986
1988-03-07,42.166666666666664,1988,2.1666666666666643,54.16666666666665
1988-03-08,35.666666666666664,1988,0.0,54.16666666666665
1988-03-09,42.666666666666664,1988,2.6666666666666643,56.833333333333314
1988-03-10,44.0,1988,4.0,60.833333333333314
1988-03-11,31.0,1988,0.0,60.833333333333314
1988-03-12,24.166666666666668,1988,0.0,60.833333333333314
1988-03-13,16.0,1988,0.0,60.833333333333314
1988-03-14,24.666666666666668,1988,0.0,60.833333333333314
1988-03-15,28.5,1988,0.0,60.833333333333314
1988-03-16,26.333333333333332,1988,0.0,60.833333333333314
1988-03-17,21.333333333333332,1988,0.0,60.833333333333314
1988-03-18,25.166666666666668,1988,0.0,60.833333333333314
1988-03-19,43.0,1988,3.0,63.833333333333314
1988-03-20,52.0,1988,12.0,75.83333333333331
1988-03-21,54.5,1988,14.5,90.33333333333331
1988-03-22,53.5,1988,13.5,103.83333333333331
1988-03-23,49.666666666666664,1988,9.666666666666664,113.49999999999997
1988-03-24,48.833333333333336,1988,8.833333333333336,122.33333333333331
1988-03-25,42.833333333333336,1988,2.8333333333333357,125.16666666666666
1988-03-26,48.0,1988,8.0,133.16666666666666
1988-03-27,55.166666666666664,1988,15.166666666666664,148.33333333333331
1988-03-28,45.166666666666664,1988,5.166666666666664,153.49999999999997
1988-03-29,29.333333333333332,1988,0.0,153.49999999999997
1988-03-30,37.166666666666664,1988,0.0,153.49999999999997
1988-03-31,28.833333333333332,1988,0.0,153.49999999999997
1988-04-01,26.333333333333332,1988,0.0,153.49999999999997
1988-04-02,41.0,1988,1.0,154.49999999999997
1988-04-03,48.166666666666664,1988,8.166666666666664,162.66666666666663
1988-04-04,55.333333333333336,1988,15.333333333333336,177.99999999999997
1988-04-05,49.833333333333336,1988,9.833333333333336,187.83333333333331
1988-04-06,52.166666666666664,1988,12.166666666666664,199.99999999999997
1988-04-07,60.166666666666664,1988,20.166666666666664,220.16666666666663
1988-04-08,54.333333333333336,1988,14.333333333333336,234.49999999999997
1988-04-09,35.5,1988,0.0,234.49999999999997
1988-04-10,32.833333333333336,1988,0.0,234.49999999999997
1988-04-11,44.166666666666664,1988,4.166666666666664,238.66666666666663
1988-04-12,52.166666666666664,1988,12.166666666666664,250.83333333333331
1988-04-13,59.0,1988,19.0,269.8333333333333
1988-04-14,51.166666666666664,1988,11.166666666666664,281.0
1988-04-15,47.833333333333336,1988,7.833333333333336,288.8333333333333
1988-04-16,51.833333333333336,1988,11.833333333333336,300.66666666666663
1988-04-17,53.333333333333336,1988,13.333333333333336,314.0
1988-04-18,49.166666666666664,1988,9.166666666666664,323.16666666666663
1988-04-19,53.166666666666664,1988,13.166666666666664,336.3333333333333
1988-04-20,54.0,1988,14.0,350.3333333333333
1988-04-21,56.333333333333336,1988,16.333333333333336,366.66666666666663
1988-04-22,43.0,1988,3.0,369.66666666666663
1988-04-23,40.166666666666664,1988,0.1666666666666643,369.8333333333333
1988-04-24,45.0,1988,5.0,374.8333333333333
1988-04-25,47.833333333333336,1988,7.833333333333336,382.66666666666663
1988-04-26,42.833333333333336,1988,2.8333333333333357,385.5
1988-04-27,45.0,1988,5.0,390.5
1988-04-28,53.333333333333336,1988,13.333333333333336,403.8333333333333
1988-04-29,58.5,1988,18.5,422.3333333333333
1988-04-30,60.5,1988,20.5,442.8333333333333
1988-05-01,57.666666666666664,1988,17.666666666666664,460.5
1988-05-02,42.0,1988,2.0,462.5
1988-05-03,45.75,1988,5.75,468.25
1988-05-04,46.5,1988,6.5,474.75
1988-05-05,55.0,1988,15.0,489.75
1988-05-06,60.666666666666664,1988,20.666666666666664,510.41666666666663
1988-05-07,51.5,1988,11.5,521.9166666666666
1988-05-08,51.833333333333336,1988,11.833333333333336,533.75
1988-05-09,51.333333333333336,1988,11.333333333333336,545.0833333333333
1988-05-10,55.166666666666664,1988,15.166666666666664,560.25
1988-05-11,54.833333333333336,1988,14.833333333333336,575.0833333333333
1988-05-12,59.666666666666664,1988,19.666666666666664,594.75
1988-05-13,67.0,1988,27.0,621.75
1988-05-14,69.5,1988,29.5,651.25
1988-05-15,61.833333333333336,1988,21.833333333333336,673.0833333333333
1988-05-16,65.0,1988,25.0,698.0833333333333
1988-05-17,70.33333333333333,1988,30.33333333333333,728.4166666666666
1988-05-18,64.33333333333333,1988,24.33333333333333,752.75
1988-05-19,52.0,1988,12.0,764.75
1988-05-20,44.666666666666664,1988,4.666666666666664,769.4166666666666
1988-05-21,47.833333333333336,1988,7.833333333333336,777.25
1988-05-22,49.666666666666664,1988,9.666666666666664,786.9166666666666
1988-05-23,53.5,1988,13.5,800.4166666666666
1988-05-24,58.833333333333336,1988,18.833333333333336,819.25
1988-05-25,61.0,1988,21.0,840.25
1988-05-26,62.833333333333336,1988,22.833333333333336,863.0833333333333
1988-05-27,65.16666666666667,1988,25.16666666666667,888.25
1988-05-28,65.16666666666667,1988,25.16666666666667,913.4166666666666
1988-05-29,65.5,1988,25.5,938.9166666666666
1988-05-30,65.83333333333333,1988,25.83333333333333,964.75
1988-05-31,60.333333333333336,1988,20.333333333333336,985.0833333333333
1988-06-01,54.0,1988,14.0,999.0833333333333
1988-06-02,59.166666666666664,1988,19.166666666666664,1018.25
1988-06-03,62.666666666666664,1988,22.666666666666664,1040.9166666666667
1988-06-04,66.5,1988,26.5,1067.4166666666667
1988-06-05,68.33333333333333,1988,28.33333333333333,1095.75
1988-06-06,67.33333333333333,1988,27.33333333333333,1123.0833333333333
1988-06-07,73.0,1988,33.0,1156.0833333333333
1988-06-08,73.66666666666667,1988,33.66666666666667,1189.75
1988-06-09,73.33333333333333,1988,33.33333333333333,1223.0833333333333
1988-06-10,67.5,1988,27.5,1250.5833333333333
1988-06-11,69.5,1988,29.5,1280.0833333333333
1988-06-12,66.16666666666667,1988,26.16666666666667,1306.25
1988-06-13,63.833333333333336,1988,23.833333333333336,1330.0833333333333
1988-06-14,61.666666666666664,1988,21.666666666666664,1351.75
1988-06-15,63.5,1988,23.5,1375.25
1988-06-16,64.83333333333333,1988,24.83333333333333,1400.0833333333333
1988-06-17,71.16666666666667,1988,31.16666666666667,1431.25
1988-06-18,71.66666666666667,1988,31.66666666666667,1462.9166666666667
1988-06-19,73.5,1988,33.5,1496.4166666666667
1988-06-20,75.0,1988,35.0,1531.4166666666667
1988-06-21,76.16666666666667,1988,36.16666666666667,1567.5833333333333
1988-06-22,75.16666666666667,1988,35.16666666666667,1602.75
1988-06-23,75.0,1988,35.0,1637.75
1988-06-24,78.25,1988,38.25,1676.0
1988-06-25,74.5,1988,34.5,1710.5
1988-06-26,68.0,1988,28.0,1738.5
1988-06-27,70.33333333333333,1988,30.33333333333333,1768.8333333333333
1988-06-28,70.5,1988,30.5,1799.3333333333333
1988-06-29,70.0,1988,30.0,1829.3333333333333
1988-06-30,69.5,1988,29.5,1858.8333333333333
1988-07-01,66.5,1988,26.5,1885.3333333333333
1988-07-02,69.66666666666667,1988,29.66666666666667,1915.0
1988-07-03,72.83333333333333,1988,32.83333333333333,1947.8333333333333
1988-07-04,73.83333333333333,1988,33.83333333333333,1981.6666666666667
1988-07-05,72.16666666666667,1988,32.16666666666667,2013.8333333333333
1988-07-06,76.0,1988,36.0,2049.8333333333335
1988-07-07,72.66666666666667,1988,32.66666666666667,2082.5
